word	translation	category	reason	hallelujah_original	frequency
chairmen	n. 主席； 领导人； 委员长； 会长	EXCELLENT	POS	n. 主席	714170
cheapskate	n. 守财奴； 吝啬鬼	EXCELLENT	POS	n.  <美俚>守财奴； 吝啬鬼	87192
cheat	vt. 欺骗；骗取；vi. 作弊；行骗；n. 骗子；欺骗	EXCELLENT	POS	vt. 欺骗；骗取|vi. 作弊；行骗|n. 骗子；欺骗	9903572
chetumal	n. 切图马尔 ( 伯 )	EXCELLENT	POS	n. 切图马尔(在伯利兹；西经 88&#186;16' 北纬 18&#186;30')	52205
chondrite	n. [地质] 球粒状陨石	EXCELLENT	POS	n. 球粒状陨石	53879
cinematically	adv. 用电影方式；从电影角度看	EXCELLENT	POS	adv. 用电影方式	22539
circulates	vi. 流通；循环；传播；vt. 使流通，使环流	EXCELLENT	POS	vi. 流通；循环；传播|vt. 使流通，使环流	202831
claverton	n. 克拉弗顿 ( 澳 )	EXCELLENT	POS	n. 克拉弗顿(在澳大利亚；东经 145&#186;55' 南纬 27&#186;24')	20972
clunk	n. 沉闷的金属声；愚蠢乏味的人；v. 发出沉闷声；打击某物（使）发出沉闷声地	EXCELLENT	POS	n. 沉闷的金属声；愚蠢乏味的人|v. 发出沉闷声；打击某物（使）发出沉闷声地	67116
clunking	n. 沉闷的金属声；愚蠢乏味的人；v. 发出沉闷声；打击某物（使）发出沉闷声地	EXCELLENT	POS	n. 沉闷的金属声；愚蠢乏味的人|v. 发出沉闷声；打击某物（使）发出沉闷声地	18552
coefficient	n. [数] 系数；率；协同因素	EXCELLENT	POS	n. 系数	4461240
comminution	n. 粉碎； 细碎； 精研	EXCELLENT	POS	n. 粉碎；复杂骨折	26364
contradict	vt. 反驳；与 ... 矛盾	EXCELLENT	POS	vt. 反驳；与 ... 矛盾	902559
cover	n. 封面；盖子；套子；表面；v. 覆盖；涉及；包含；掩护；给…保险	EXCELLENT	POS	n. 封面；盖子；套子；表面|v. 覆盖；涉及；包含；掩护；给…保险	94501729
cowansville	n. 考恩斯维尔 ( 加 )	EXCELLENT	POS	n. 考恩斯维尔(在加拿大；西经 72&#186;44' 北纬 45&#186;13')	30201
crayons	n. 蜡笔；蜡笔画；v. 以蜡笔作画	EXCELLENT	POS	n. 蜡笔；蜡笔画|v. 以蜡笔作画	696127
crew	n. 全体船员；全体乘务员；(一组)工作人员；划艇队员；v. 当船员；当机务人员	EXCELLENT	POS	n. 全体船员；全体乘务员；(一组)工作人员；划艇队员|v. 当船员；当机务人员	22443877
culled	v. 拣选；剔除；n. 剔除	EXCELLENT	POS	v. 拣选；剔除|n. 剔除	416654
curare	n. 箭毒马鞍子，箭毒（箭毒马鞍子的毒素，南美洲印地安人用以浸制毒箭）	EXCELLENT	POS	n. [植]箭毒马鞍子；箭毒|=curari.	39927
cyprian	n. 塞浦路斯的, 塞浦路斯语的, 塞浦路斯人的, 放荡的	EXCELLENT	POS	n. 妓女；卖淫|Cyprian.|n. 圣西普里安(基督教主教和殉教者)	115114
