word	translation	category	reason	hallelujah_original	frequency
sharpen	vt. 使尖锐；磨快；加剧；vi. 变尖锐	EXCELLENT	POS	vt. 使尖锐；磨快；加剧|vi. 变尖锐	776397
sharpie	n. 狡猾的人；骗子；单桅三角帆平底帆船	EXCELLENT	POS	n. 狡猾的人；单桅三角帆平底帆船|=sharpy.	323182
sickness	n. 疾病；呕吐；弊病	EXCELLENT	POS	n. 疾病；呕吐	3323415
sirohi	n. 锡罗希 ( 印 )	EXCELLENT	POS	n. 锡罗希(在印度；东经 72&#186;58' 北纬 25&#186;53')	12770
solemnity	n. 严肃；庄严；一本正经	EXCELLENT	POS	n. 庄严；庄重的仪式	181832
sorrow	n. 悲伤；悲痛；懊悔；伤心事；vi. 悲伤；惋惜；悔恨	EXCELLENT	POS	n. 悲伤；悲痛；懊悔；伤心事|vi. 悲伤；惋惜；悔恨	2722640
sponsoring	n. 保证人；赞助者；发起者；主办者；v. 发起；赞助；倡议	EXCELLENT	POS	n. 保证人；赞助者；发起者；主办者|v. 发起；赞助；倡议	2989475
squashed	n. 壁球；摺皱不堪；拥挤嘈杂的人群；浓缩果汁；美国南瓜；vt. 压制；压扁；vi. 变扁；挤进	EXCELLENT	POS	n. 壁球；摺皱不堪；拥挤嘈杂的人群；浓缩果汁；美国南瓜|vt. 压制；压扁|vi. 变扁；挤进	294415
squawk	n. 叫声；嘈杂的抱怨；v. 呱呱地叫鸣；喋喋不休地发牢骚	EXCELLENT	POS	n. 叫声；嘈杂的抱怨|v. 呱呱地叫鸣；喋喋不休地发牢骚	121689
stake	n. 桩；赌注；利害关系；v. 用桩支撑；下注	EXCELLENT	POS	n. 桩；赌注；利害关系|v. 用桩支撑；下注	5061965
stepping	n. 步进；改变；分级；通过透镜天线后波前的取平	EXCELLENT	POS	n. 步进(通过透镜天线后波前的取平；改变)	3348507
stereospecific	adj. 有规立构的，立体定向的，立体专一的	EXCELLENT	POS	adj. 立体有择的	27913
stereotypical	n. 模式化观念；典型；老一套；铅版；v. 对…形成模式化的看法；使用铅版	EXCELLENT	POS	n. 模式化观念；典型；老一套；铅版|v. 对…形成模式化的看法；使用铅版	440561
surfer	n. 冲浪运动员，乘冲浪板冲浪的人	EXCELLENT	POS	n. 冲浪者	1837185
susteren	n. [荷兰] 叙斯特伦	EXCELLENT	POS	n. 叙斯特伦(在荷兰；东经 5&#186;50' 北纬 51&#186;04')	54949
swinger	n. 摆动的人；赶时髦的人；乱搞男女关系的人；巨大的事物	EXCELLENT	POS	n. 赶时髦的人	2941608
synch	n. 同时； 同步；v. 同时发生	EXCELLENT	POS	n.  <非正式> 同时； 同步|v.  同时发生|=sync	603920
tally	n. 帐；记分；一致；标签；vt. 计算；记录；使一致；vi. 计算；记分；一致	EXCELLENT	POS	n. 帐；记分；一致；标签|vt. 计算；记录；使一致|vi. 计算；记分；一致	1812605
tautological	adj. 赘述的；同义反复的；类语叠用的	EXCELLENT	POS	adj. 重复的；赘述的	45700
taxed	n. 税；负担；v. 斥责；课税；使 ... 负重荷	EXCELLENT	POS	n. 税；负担|v. 斥责；课税；使 ... 负重荷	1537786
technocrat	n. 技术统治论者；专家政治论者；技术统治	EXCELLENT	POS	n. 技术人员；技术专家政治论者	47720
thrombospondin	n. [化] 糖蛋白G； 凝血酶致敏蛋白	EXCELLENT	POS	n. 血小板反应蛋白	58040
timekeeper	n. 计时员；钟表；工作时间记录员	EXCELLENT	POS	n. 计时员；计时装置	210441
transsexuality	n.；adj. 易性癖；改变性别；性欲错乱	EXCELLENT	POS	n. 有异性转化欲者；变性者|adj. 变性的|=transexual.	15340
tutored	n. 家庭教师；导师；v. 指导；当家庭教师；当导师	EXCELLENT	POS	n. 家庭教师；导师|v. 指导；当家庭教师；当导师	151444
tyler	n. 泰勒（男子名）；秘密会所看守人（共济会的）	EXCELLENT	POS	n. 泰勒(男子名）	7474964
uncle	n. 叔叔；伯父；伯伯；舅父；姨丈；姑父	EXCELLENT	POS	n. 伯；姑父；舅；叔；姨父	8127694
unimpeachable	adj. 无可指责的；无可怀疑的；无懈可击的；无过失的，无罪的	EXCELLENT	POS	adj. 无懈可击的；无可指责的；可靠的	52419
unthought	v. 不想(对 ... 改变想法)	EXCELLENT	POS	v.  不想(对 ... 改变想法)	17794
update	v. 更新；升级；n. 更新	EXCELLENT	POS	v. 更新；升级|n. 更新	100765188
uprise	n. 升起；上坡；起义；出现；v. 起床；上升；提高；膨胀	EXCELLENT	POS	n. 升起；上坡；起义；出现|v. 起床；上升；提高；膨胀	28850
valet	n. 贴身男仆；（照顾客人私人衣物的）服务员；衣架；vt. 服侍，伺候	EXCELLENT	POS	n. 贴身男仆；（照顾客人私人衣物的）服务员；<美>衣架|vt. 服侍，伺候	2052690
varactor	n. 变容二极管； 可变电抗器	EXCELLENT	POS	n. 变容二极管; 可变电抗器	31031
vermont	n. 佛蒙特（美国州名）	EXCELLENT	POS	n. 佛蒙特（美国州名）	19895227
vintner	n. 葡萄酒商；酿造葡萄酒的人	EXCELLENT	POS	n. 酒商；酿酒者	88409
waterwheel	n. 水车；水轮；吊水机	EXCELLENT	POS	n. 水轮(水车)	46406
wei	n. 魏（姓氏）；魏（朝代）；渭河	EXCELLENT	POS	n. 渭河|n. 魏朝（中国历史朝代之一）	2092089
wickenburg	n. [美国] 威肯堡	EXCELLENT	POS	n. 威肯堡(在美国；西经 112&#186;44' 北纬 33&#186;59')	127800
wireline	n. 钢丝绳；钢缆；铠装电缆；测井电缆	EXCELLENT	POS	n. 有线线路	571289
worshipped	n. 崇拜；爱慕；做礼拜；vi. 做礼拜；vt. 崇拜；爱慕	EXCELLENT	POS	n. 崇拜；爱慕；做礼拜|vi. 做礼拜|vt. 崇拜；爱慕	638710
wrap	v. 包；裹；覆盖；隐藏；n. 围巾；披肩；包装材料	EXCELLENT	POS	v. 包；裹；覆盖；隐藏|n. 围巾；披肩；包装材料	11871928
wrinkles	n. 皱纹；方法；vt. 使起皱纹；皱着；vi. 起皱	EXCELLENT	POS	n. 皱纹；方法|vt. 使起皱纹；皱着|vi. 起皱	1235825
yaps	v. 狂吠；唠叨；吵嚷；n. 狂吠；废话；粗汉	EXCELLENT	POS	v. 狂吠；唠叨；吵嚷|n. 狂吠；废话；粗汉	23699
yonezawa	n. [日本] 米泽	EXCELLENT	POS	n. 米泽(在日本；东经 140&#186;06' 北纬 37&#186;56')	36854
API	应用程序接口	FAIR	brief (6 chars)		0
DJ	唱片骑师	FAIR	brief (4 chars)		0
Downloadable content	可下载内容	FAIR	brief (5 chars)		0
Graphical User Interface	图形用户界面	FAIR	brief (6 chars)		0
Integrated Circuit	集成电路	FAIR	brief (4 chars)		0
adcom	航天防御司令部	FAIR	brief (7 chars)	=Aerospace Defense Command 航天防御司令部([美]USAF)	128755
agritourism	农业旅游	FAIR	brief (4 chars)	ph. 农业旅游	69049
airfares	机票价格	FAIR	brief (4 chars)		0
airside	机场侧边，机场	FAIR	brief (7 chars)	机场周边活动区	79190
azolla	[农]绿萍	FAIR	brief (5 chars)	满江红	19628
baileys	百利酒，比利酒	FAIR	brief (7 chars)	比利酒	224811
biblio	[刷]书志目录	FAIR	brief (7 chars)	书志目录	1026813
bicester	n. 比斯特	FAIR	brief (6 chars)	n. 比斯特	241954
biodegrade	v. 生物降解	FAIR	brief (7 chars)	v. 生物降解	23094
calculator	n. 计算器	FAIR	brief (6 chars)	n. 计算器	20664690
caryatid	[建] 女像柱	FAIR	brief (7 chars)		0
ccad	慢性冷凝集素病	FAIR	brief (7 chars)	(=chronic cold agglutinin disease) 慢性冷凝集素病	28500
chequered	方格图案的	FAIR	brief (5 chars)		0
claus	n. 克劳斯	FAIR	brief (6 chars)	n. 克劳斯(人名)	2528018
doornail	门钉，大头钉子	FAIR	brief (7 chars)		0
encyclopaedia	百科全书	FAIR	brief (4 chars)		0
esthetician	n. 美学家	FAIR	brief (6 chars)	n. 美学家；美容师|=aesthetician.	100379
fide	[体]国际棋联	FAIR	brief (7 chars)	Fédération Internationdle deschecs (French-International Chess Federation) (法语)国际象棋联盟	1378595
fnz	氟硝安定	FAIR	brief (4 chars)	(=flunitrazepam) 氟硝安定	13132
gemella	兼性双球菌	FAIR	brief (5 chars)	兼性双球菌(属)	14486
honeyguide	[医]响蜜列	FAIR	brief (6 chars)	响蜜列	27920
how-to	操作指南	FAIR	brief (4 chars)		0
hypermethylation	[医]超甲基化	FAIR	brief (7 chars)	超甲基化	23595
ickes	伊克斯（姓氏）	FAIR	brief (7 chars)	伊克斯(姓氏)	82384
ideas	工业设计优秀奖	FAIR	brief (7 chars)	观念	67309657
ironbark	[林] 铁皮木	FAIR	brief (7 chars)	铁皮木	51293
iws	内陆航道局	FAIR	brief (5 chars)	Inland Waterway Service 内陆排水服务	210543
krystyna	【女名】女子名	FAIR	brief (7 chars)	克里斯蒂纳	55054
logocentric	以理性为中心的	FAIR	brief (7 chars)		0
msgbuf	n. 消息缓冲	FAIR	brief (7 chars)	n. 消息缓冲(message buffer的缩写)	20791
muac	上臂中部臂围	FAIR	brief (6 chars)	(=mid-upper arm circumference) 上臂中部臂围	15253
nscs	国家安全委员会	FAIR	brief (7 chars)	Navy Supply Corps School,海军军需兵学校	45443
nucleosynthesis	[天] 核合成	FAIR	brief (7 chars)	核合成	90236
oscc	绵羊鳞状细胞癌	FAIR	brief (7 chars)	(=ovine squamous-cell carcinoma) 绵羊鳞状细胞癌	20866
platycodon	[医]桔梗属	FAIR	brief (6 chars)	桔梗属	14657
qiao	桥（汉语拼音）	FAIR	brief (7 chars)	翘	141606
rotherham	n. 罗瑟勒姆	FAIR	brief (7 chars)	n. 罗塞蓝	884406
shakyamuni	释迦牟尼	FAIR	brief (4 chars)	释迦摩尼	68860
smilies	笑脸表情	FAIR	brief (4 chars)		0
supraclavicular	锁骨上的	FAIR	brief (4 chars)	销骨上的	18640
timur	n. 帖木儿	FAIR	brief (6 chars)	n. 帖木儿	203060
traveller	n. 旅行者	FAIR	brief (6 chars)	n. 旅行者|=traveler(美).	5928308
unsayable	不可说出的	FAIR	brief (5 chars)		0
upskirt	裙底偷拍	FAIR	brief (4 chars)		0
wolinella	类杆菌属	FAIR	brief (4 chars)	拟杆菌科的一个属	17262
AA	戒酒互助会；文科副学士	GOOD	length 11, cjk 10		0
Quick UDP Internet Connections	快速UDP网络连接	GOOD	length 9, cjk 6		0
abridgement	节略，缩写；减少	GOOD	length 8, cjk 6		0
adamu	人名；(意、埃塞、尼日利)阿达穆	GOOD	length 16, cjk 11	阿达穆	26043
akala	生于夏威夷的一种灌木或攀藤	GOOD	length 13, cjk 13	攀藤	32797
amidah	犹太教的一种礼拜仪式	GOOD	length 10, cjk 10	礼拜仪式	21215
asif	阿西夫（男子名）	GOOD	length 8, cjk 6	(=Association for the Study of Internal Fixation) 内固定研究协会	199241
asmodeus	(犹太神话中的)恶魔, 魔王	GOOD	length 14, cjk 10	恶魔,魔王	38361
baffin	巴芬岛（加拿大东北部的一个海岛）	GOOD	length 16, cjk 14	巴芬	221512
benrus	贝罗斯牌手表(瑞士)	GOOD	length 10, cjk 8	贝罗斯牌手表	15802
biocatalysis	生物触媒[作用], 生物催化[作用]	GOOD	length 18, cjk 12	生物催化,生物催化酌	43563
brickmason	砌砖工人,泥水匠	GOOD	length 8, cjk 7	砌砖工人,砌砖工	16602
buea	布埃亚[喀麦隆西部城市]	GOOD	length 12, cjk 10	布埃亚	28442
calcasieu	位于路易斯安那西南部的加尔卡修湖或者加尔卡修人海口,在那里湖水流入到墨西哥海湾	GOOD	length 39, cjk 38	Calcasieu Lake or Calcasieu Pass in southwestern Louisiana where the lake waters flow into the Gulf of Mexico 位于路易斯安那西南部的加尔卡修湖或者加尔卡修人海口,在那里湖水流入到墨西哥海湾	168099
caped	带披肩的；披斗篷的	GOOD	length 9, cjk 8	a. 披斗篷的	85551
caspase	[医]半胱天冬酶	GOOD	length 8, cjk 6	半胱天冬酶	524776
citified	都市风尚的；有都市气概的	GOOD	length 12, cjk 11		0
clonazepam	[化] 氯硝西泮	GOOD	length 8, cjk 5	氯硝西泮	822152
competitions	比赛，[生态] 竞争	GOOD	length 10, cjk 6	竞赛	8912029
coolgardie	保冷食柜(以浸水黄麻布为内壁, 澳大利亚家庭多用)	GOOD	length 25, cjk 21	safe 保冷食柜(以浸水黄麻布为内壁, 澳大利亚家庭多用)	46762
coroutine	[计] 协同程序, 联立程序, 共行程序	GOOD	length 20, cjk 13	[计算机] 协同程序	26176
crapshoot	n. 有风险的事业	GOOD	length 9, cjk 6	n.  <美口>有风险的事业	25368
cscp	加拿大临床灌注学会； 民用服务计算机化计划； 基督教科学派出版委员会； 小型单芯片封装	GOOD	length 43, cjk 37	Computerized Supervision and Control System 计算机化监督控制系统	15244
cusk	n. 鳕鱼的一种	GOOD	length 8, cjk 5	n. 单鳍鲟	24095
cxm	头孢氨呋肟,呋肟头孢菌素	GOOD	length 12, cjk 11	(=cefuroxime) 头孢氨呋肟, 呋肟头孢菌素	85567
dang	人名；(印、德、印尼)丹格	GOOD	length 13, cjk 8	[俚]=damn	1126793
dermis	n. 皮肤，真皮	GOOD	length 8, cjk 4	n. 真皮	186285
doncaster	唐卡斯特（城市名）	GOOD	length 9, cjk 7	唐克斯特	1803298
fulton	富尔顿(姓氏)；富尔敦（美国密苏里州 所在地，1946年丘吉尔在此发表著名的铁幕演说，冷战遂起）	GOOD	length 48, cjk 36	富尔顿(姓氏)；富尔敦（美国密苏里州 Westminster College 所在地，1946年丘吉尔在此发表著名的铁幕演说，冷战遂起）	3362274
genevieve	n. 吉纳维芙(	GOOD	length 8, cjk 4	n. 吉纳维芙(f	739113
guamanian	关岛的, 关岛人	GOOD	length 8, cjk 6	关岛的,关岛人	64991
haute	人名；(德)豪特；(法)奥特	GOOD	length 14, cjk 8	奥特； adj.；时髦又昂贵的；高级的；流行的	1863024
headscarf	n. 女人的头巾	GOOD	length 8, cjk 5	n. 头巾	86065
heritage	n. 遗产；继承物	GOOD	length 9, cjk 5	n. 遗产；继承物	24558644
hsan	遗传性感觉和自主神经病	GOOD	length 11, cjk 11	hereditary sensory and autonomic neuropathy 遗传性感觉和自主神经病变	17892
ibo	伊博人（尼日利亚居民）；伊博语	GOOD	length 15, cjk 12	=International Broadcasting Organization 国际广播组织	288919
icta	国际热分析联合会； 国际热分析会议； 国际农业技师联盟； 国际印刷技术中心	GOOD	length 37, cjk 31	Imperial College of Tropical Agriculture 皇家热带农业学院	60910
interp	解释程序；翻译机，转换机	GOOD	length 12, cjk 10	interpolation 篡改、插补	412936
laredo	拉雷多（美国得克萨斯州南部城市）	GOOD	length 16, cjk 14	拉雷多[美国得克萨斯州南部城市][源自西班牙城镇名]	1285387
linnet	n. 红雀；朱顶雀	GOOD	length 9, cjk 5	n. 红雀	107514
littleton	利特尔顿（姓氏）	GOOD	length 8, cjk 6	利特尔顿(姓氏)	1381377
llq	左下象限,左下腹部	GOOD	length 9, cjk 8	(=left lower quadrant) 左下象限, 左下腹部	22762
lorenzo	洛伦佐（男子名）	GOOD	length 8, cjk 6	洛伦佐(男子名)	1768575
lssl	生命科学空间实验室	GOOD	length 9, cjk 9	(=Life Sciences Space Laboratory) 生命科学空间实验室	24850
mandingo	曼丁果语；西非洲曼丁果人	GOOD	length 12, cjk 11	曼丁哥人(西非洲黑人民族之一),曼丁哥语	143355
mankato	曼卡托（亚冰期）	GOOD	length 8, cjk 6	曼凯托[美国明尼苏达一城市]	984172
mattie	n. 马蒂； 玛蒂	GOOD	length 9, cjk 4	n. 马蒂; 玛蒂	538409
maximizing	最大化；达到极大值	GOOD	length 9, cjk 8	达到最大值,达到极大值,最大化	2270543
megafauna	[动] 巨型动物	GOOD	length 8, cjk 5	巨型动物群	33589
mesna	[化] 巯乙磺酸钠	GOOD	length 9, cjk 6	巯乙磺酸钠	25065
misname	误称；给…取名不当	GOOD	length 9, cjk 7		0
ncle	全国劳动企业中心	GOOD	length 8, cjk 8	National Center for Labored Enterprises 全国劳动企业中心	18866
nka	[医]不明变态反应	GOOD	length 9, cjk 7	(=no known allergies) 不明变态反应	37596
oenothera	[医]月见草（属）	GOOD	length 9, cjk 5	月见草(属)	57095
persantine	[化] 双嘧达莫； 潘生丁	GOOD	length 13, cjk 8	潘生丁	24582
potassium	n. [化学] 钾	GOOD	length 9, cjk 3	n. 钾	3966709
purism	纯粹派（一个与立体派相抗衡的艺术流派）；纯粹主义；语言纯正主义	GOOD	length 31, cjk 27		0
rnt	氮停留时间； 德国物理学家； X光线学； X光科	GOOD	length 24, cjk 16	(=radioassayable neurotensin) 可放射测定的神经降压素	57333
saltshaker	盐瓶（常见于餐桌上）	GOOD	length 10, cjk 8		0
schwaben	*施瓦本(历史地区) ( 德 )	GOOD	length 16, cjk 8	Swabia的德语名称	23162
temping	打临时工，做临时工作，打零工	GOOD	length 14, cjk 12	substituting 代替	99554
tulsa	塔尔萨（美国俄克拉菏马州东北部城市）	GOOD	length 18, cjk 16	塔尔萨[美国俄克拉菏马州东北部城市]	5463904
tvh	全阴道子宫全切术, 火鸡病毒性肝炎	GOOD	length 17, cjk 15	(=total vaginal hysterectomy) 全阴道子宫全切术,(=turkey virus hepatitis) 火鸡病毒性肝炎	22253
unchaperoned	无年长妇女陪伴的（少女）	GOOD	length 12, cjk 10		0
underachiever	后进生；学校学习成绩低于智商的学生	GOOD	length 17, cjk 16	学习落后的学生，差等生	48651
unip	联合独立党； 联合民族独立党	GOOD	length 14, cjk 12	United Independence Party 联合独立党	33290
unlamented	无人惋惜的；不被哀悼的	GOOD	length 11, cjk 10		0
unos	器官共享联合网络	GOOD	length 8, cjk 8	United Network for Organ Sharing 器官分配联合网	182156
untracked	无足迹的；无路径的；（经济萧条以后）开始回升的	GOOD	length 23, cjk 19	a. 无足迹的|a. 未发现踪迹的	41007
veris	人名；(捷)韦里斯	GOOD	length 9, cjk 6	韦里斯	29096
webgis	际网路地理资讯系统	GOOD	length 9, cjk 9	网络地理信息系统	18791
whf	码头； 同性恋白人女性	GOOD	length 11, cjk 9	(=World Hemophilia Federation) 世界血友病联合会	42581
witchcraft	n. 巫术；魔法	GOOD	length 8, cjk 4	n. 魔法或巫术	1358086
zhejiang	浙江（位于中国东部沿海）	GOOD	length 12, cjk 10	浙江(位于中国东部沿海)	1384568
Esperanto	世界语	POOR	very short translation: '世界语'		0
amen	int. 祈祷的结束语；赞成	POOR	English leftover	int. [基督教]阿门	2400153
annoyed	adj. 恼怒的；气恼的；动词annoy的过去式和过去分词.	POOR	English leftover	adj. 恼怒的；气恼的|动词annoy的过去式和过去分词.	1620937
antitheses	n. 对照；正相反；对比法；名词antithesis的复数形式.	POOR	English leftover	n. 对照；正相反；对比法|名词antithesis的复数形式.	13320
anyhow	adv. 总之；无论如何；不管怎样	POOR	English leftover	adv. 无论如何；不管怎样	1521509
appliances	n. 电气用具；名词appliance的复数形式.	POOR	English leftover	n. 电气用具|名词appliance的复数形式.	23847029
asa	abbr. 美国标准协会；美国声学学会；（英国）广告标准管理局	POOR	English leftover	abbr. 广告标准局(=Advertising Standards Authority)；美国声学学会(=Acoustical Society of America)	3762120
bering	n. 白令(Vitus, 1680-1741, 丹麦航海家, 白令海及白令海峡的发现者)	POOR	English leftover	n. 白令(丹麦航海家、探险家)|n. 白令海峡	520372
blanket	n. 毛毯；覆盖物；排字版；vt. 覆盖；用毯子裹；扑灭；挡风；使包含；adj. 包含所有的；适用于所有情形的	POOR	English leftover	n. 毛毯；覆盖物；排字版|vt. 覆盖；用毯子裹；扑灭；挡风；使包含|adj. 包含所有的；适用于所有情形的	5457762
blindfold	v. 蒙住 ... 的眼睛；n. 蒙眼物；盲目；adj. 被蒙上眼睛的	POOR	English leftover	v. 蒙住 ... 的眼睛|n. 蒙眼物；盲目|adj. 被蒙上眼睛的	283959
bloomed	adj. （玻璃表面的）真空镀膜	POOR	English leftover	adj. 模糊的(无反射的)	117387
breton	adj. 布列塔尼的；布列塔尼人的；布列塔尼语的；n. 布列塔尼人；布列塔尼语	POOR	English leftover	adj. 布列塔尼的；布列塔尼人的；布列塔尼语的|n. 布列塔尼人；布列塔尼语	1285069
cagey	adj. 精明的；小心谨慎的；机灵的；有戒心的	POOR	English leftover	adj. 谨慎的；机灵的；守口如瓶的|=cagy.	66504
condensing	n. 冷凝；动词condense的现在分词形式.	POOR	English leftover	n. 冷凝|动词condense的现在分词形式.	554824
conjugal	adj. 婚姻的；结婚的；夫妻之间的	POOR	English leftover	adj. 婚姻的；夫妻间的	171770
contoured	adj. 波状外形的；动词contour的过去式和过去分词.	POOR	English leftover	adj. 波状外形的|动词contour的过去式和过去分词.	823932
cor	心脏	POOR	very short translation: '心脏'		0
cottager	住在乡下房子的人；佃农（等于cotter，cottier）	POOR	English leftover		0
craving	n. 渴望；热望；动词crave的现在分词.	POOR	English leftover	n. 渴望；热望|动词crave的现在分词.	1344800
crick	n. 痛性痉挛；v. 使痉挛；Crick.；n. 克里克（姓氏）	POOR	English leftover	n. 痛性痉挛|v. 使痉挛|Crick.|n. 克里克（姓氏）	362258
critters	n. 家畜；生物；名词critter的复数形式.	POOR	English leftover	n. 家畜；生物|名词critter的复数形式.	1055985
crushers	n. 压碎器（crusher的复数）	POOR	English leftover	n. 压碎器（crusher的复数）	236297
darkest	adj. 黑暗的；深色的；n. 黑暗；暗处；深色调；v. 使变黑；变黑	POOR	English leftover	adj. 黑暗的；深色的|n. 黑暗；暗处；深色调|v. 使变黑；变黑	1137316
dpt	abbr. 白喉； 部门； 深度； 沉积作用	POOR	English leftover	abbr. 部；科；系；车间；工作间（=department）|abbr. 宣誓证人（=deponent）|abbr. 白喉、百日咳及破伤风混合疫苗(=diptheria；pertussis；tetanus)	665373
dyer	n. 染房；染工；Dyer.；n. 戴尔	POOR	English leftover	n. 染房；染工|Dyer.|n. 戴尔(人名)	1645507
efferent	adj. [医]传出的；n. 传出神经；[医]输出管	POOR	English leftover	adj. [医]传出的|n. 传出神经；[医]输出管	106045
eskimos	n. 爱斯基摩人；爱斯基摩语；adj. 爱斯基摩人的；爱斯基摩语的	POOR	English leftover	n. 爱斯基摩人；爱斯基摩语|adj. 爱斯基摩人的；爱斯基摩语的	238101
evolutive	adj. 发展的； 进化的； 演变的； 演化的	POOR	English leftover	adj. 促进发展的(促进进化的)	28575
exacting	adj. 严格的；吃力的；动词exact的现在分词形式.	POOR	English leftover	adj. 严格的；吃力的|动词exact的现在分词形式.	506966
fat	adj. 肥胖的；多脂肪的；丰满的；n. 脂肪；肥肉；vt. 使变胖	POOR	English leftover	adj. 肥胖的；多脂肪的；丰满的|n. 脂肪；肥肉|vt. 使变胖	48646296
floater	n. 漂浮者；漂浮物；临时工；非法投票人；公司发起人；floaters:眼中线状物.	POOR	English leftover	n. 漂浮者；漂浮物；临时工；非法投票人；公司发起人|(复数)floaters:眼中线状物.	248608
fogy	顽固守旧者；赶不上时代的人（等于fogey）	POOR	English leftover		0
forego	v. 放弃；在……之前；=forgo.	POOR	English leftover	v. 放弃；在……之前|=forgo.	333942
fostering	v. 哺育，养育；抱有（希望），心怀（动词foster的现在分词形式）	POOR	English leftover	v. 哺育，养育；抱有（希望），心怀（动词foster的现在分词形式）	1990009
found	v. 建立；创立；创办；熔铸；找到，发现（动词find的过去式和过去分词）	POOR	English leftover	v. 建立；创立；创办；熔铸；找到，发现（动词find的过去式和过去分词）	232005894
frazzled	adj. 疲惫的；易怒的；穿破了的；动词frazzle的过去式和过去分词形式.	POOR	English leftover	adj. 疲惫的；易怒的；穿破了的|动词frazzle的过去式和过去分词形式.	117529
greco	n. 格列柯(希腊裔西班牙宗教画画家)；pref. 表示“希腊；希腊的”	POOR	English leftover	n. 格列柯(希腊裔西班牙宗教画画家)|pref. 表示“希腊；希腊的”|=Graeco.	873704
hellenic	adj. 希腊的；希腊人的；希腊语的；n. 希腊语族	POOR	English leftover	adj. 希腊的；希腊人的；希腊语的|n. 希腊语族	1343144
hindered	v. 阻碍；打扰；adj. 后面的	POOR	English leftover	v. 阻碍；打扰|adj. 后面的	630375
hirsute	adj. 多毛的；[昆] 有粗毛的	POOR	English leftover	adj. 多毛的	475227
homing	adj. 归巢的；回家的；n. 归巢；回家；动词home的现在分词形式.	POOR	English leftover	adj. 归巢的；回家的|n. 归巢；回家|动词home的现在分词形式.	379320
horoscopes	n. 星座（horoscope的复数）；占星术	POOR	English leftover	n. 星座（horoscope的复数）；占星术	3838456
how's	怎么样	POOR	very short translation: '怎么样'		0
humour	幽默	POOR	too short for word length		0
ig	abbr. 监察主任	POOR	English leftover	abbr. 惯性制导(inertial guidance)|abbr. 总检查员(=inspector general)	3120572
imbecile	n. 心智能力极低的人；adj. 愚蠢的；傻的	POOR	English leftover	n. 心智能力极低的人|adj. 愚蠢的；傻的	102040
incognito	adj. 隐姓埋名的；化名的；adv. 隐姓埋名地；匿名地；n. 隐姓埋名；化名	POOR	English leftover	adj. 隐姓埋名的；化名的|adv. 隐姓埋名地；匿名地|n. 隐姓埋名；化名	396903
inguinal	adj. [解剖][动] 腹股沟的；鼠蹊部的	POOR	English leftover	adj. 腹股沟的	198685
intervals	n. 间隔；间歇；间隙；名词interval的复数形式.	POOR	English leftover	n. 间隔；间歇；间隙|名词interval的复数形式.	5726477
janie	n. [女子名] 詹妮 Jane,Jean,Joan,Joanna等的昵称	POOR	English leftover	n. 贾尼; 贾妮	594023
japanese	n. 日本人；日语；adj. 日本的；日本人的；日语的	POOR	English leftover	n. 日本人；日语|adj. 日本的；日本人的；日语的	52320953
jeering	adj. 嘲弄的；揶揄的；动词jeer的现在分词.	POOR	English leftover	adj. 嘲弄的；揶揄的|动词jeer的现在分词.	50002
jimmie	n. [男子名] 吉米 James的昵称	POOR	English leftover	n. 吉米	1030045
judicious	adj. 明智的；头脑精明的；判断正确的	POOR	English leftover	adj. 明智的；贤明的；审慎的	415295
jute	n. [植]黄麻纤维；Jute.；n. 朱特人（住在日德兰半岛的古代日耳曼部落的人）	POOR	English leftover	n. [植]黄麻纤维|Jute.|n. 朱特人（住在日德兰半岛的古代日耳曼部落的人）	666652
latest	adj. 最近的；最新的；最后的；n. 最迟的时间；最新的潮流；最新消息；形容词late的最高级形式.	POOR	English leftover	adj. 最近的；最新的；最后的|n. 最迟的时间；最新的潮流；最新消息|形容词late的最高级形式.	131952173
laughed	v. 发笑；笑；嘲笑（动词laugh的过去式和过去分词）	POOR	English leftover	v. 发笑；笑；嘲笑（动词laugh的过去式和过去分词）	3904519
leftovers	n. 剩余物；残羹剩菜；名词leftover的复数形式.	POOR	English leftover	n. 剩余物；残羹剩菜|名词leftover的复数形式.	624074
legalize	vt. 使合法化；法律上认为正当；=legalise（英）	POOR	English leftover	vt. 使合法化；法律上认为正当|=legalise（英）	423133
lived	suf.  表示“寿命 ... 长的； 生活 ... 的”；动词live的过去式和过去分词	POOR	English leftover	suf.  表示“寿命 ... 长的； 生活 ... 的”|动词live的过去式和过去分词	18050710
loosest	adj. 松的；宽松的；不确切的；不牢固的；放纵的；n. 解放；放任；放纵；v. 弄松；释放；放枪；adv. 松散地	POOR	English leftover	adj. 松的；宽松的；不确切的；不牢固的；放纵的|n. 解放；放任；放纵|v. 弄松；释放；放枪|adv. 松散地	39565
lumpur	吉隆坡	POOR	very short translation: '吉隆坡'	隆坡	2548208
malthusian	adj. 马尔萨斯人口论的；马尔萨斯主义的；n. 马尔萨斯主义者	POOR	English leftover	adj. 马尔萨斯人口论的；马尔萨斯主义的|n. 马尔萨斯主义者	53013
masterly	adj. 巧妙的；熟练的；adv. 巧妙地；熟练地	POOR	English leftover	adj. 巧妙的；熟练的|adv. 巧妙地；熟练地	112581
meckel	麦克尔	POOR	very short translation: '麦克尔'	梅克尔	48798
